Sergio-Ramos,08511d65
Gerard-Pique,adfc9123
Virgil-van-Dijk,e06683ca
Thiago-Silva,86e7deaf
Raphael-Varane,9f8e9423
Ruben-Dias,31c69ef1
Antonio-Rudiger,18b896d6
