Lionel-Messi,d70ce98e
Robert-Lewandowski,8d78e732
Karim-Benzema,70d74ece
Kylian-Mbappe,42fd9c7f
Erling-Haaland,1f44ac21
Cristiano-Ronaldo,dea698d9
